Company,TypeName,Ram,OpSys,Weight,CPU,GPU,TouchScreen,IPS,HDD,SSD,PPI
Lenovo,Gaming,8,Windows,3.2,Intel Core i7,Nvidia,0,1,,,141.21199808219862
Acer,Notebook,8,Other,2.5,Intel Core i7,Nvidia,0,0,,256,141.21199808219862
Dell,Workstation,16,Windows,3.42,Intel Core i7,Nvidia,0,0,,256,127.33567457123111
Lenovo,Notebook,6,Windows,2.4,AMD,AMD,0,0,,,141.21199808219862
Asus,Ultrabook,16,Windows,1.63,Intel Core i7,Nvidia,0,0,,512,141.21199808219862
Asus,Notebook,4,Windows,1.3,Intel Core i3,Intel,0,0,,128,111.93520355955211
Asus,Gaming,16,Windows,2.9,Intel Core i7,Nvidia,0,0,,256,127.33567457123111
Lenovo,Notebook,6,Windows,2.8,Intel Core i5,Nvidia,0,0,,,106.11306214269258
Lenovo,Notebook,8,Other,2.2,Intel Core i5,Nvidia,0,0,,,100.45466986113651
Asus,Gaming,8,Windows,2.5,Intel Core i7,Nvidia,0,0,,128,141.21199808219862
Lenovo,Notebook,4,Other,2.2,Other Intel Processor,Intel,0,0,,,100.45466986113651
HP,2 in 1 Convertible,16,Windows,1.28,Intel Core i7,Intel,1,0,,256,165.6321180513006
Toshiba,Notebook,8,Windows,2.2,Intel Core i7,Nvidia,0,1,,256,141.21199808219862
Lenovo,Notebook,8,Windows,2.3,Intel Core i5,Nvidia,0,0,,128,141.21199808219862
HP,Notebook,4,Windows,1.86,Intel Core i3,Intel,0,0,,,141.21199808219862
Lenovo,Notebook,8,Windows,1.1,Intel Core i5,Intel,0,1,,256,165.6321180513006
Dell,Ultrabook,16,Windows,1.21,Intel Core i7,Intel,1,1,,,331.2642361026012
MSI,Gaming,16,Windows,2.8,Intel Core i7,Nvidia,0,1,,256,141.21199808219862
Acer,Notebook,8,Windows,2.23,AMD,AMD,0,0,,256,141.21199808219862
Asus,2 in 1 Convertible,2,Windows,1.1,Other Intel Processor,Intel,1,0,,,135.0942111925629
Dell,Notebook,8,Windows,2.33,Intel Core i5,AMD,0,0,,128,141.21199808219862
HP,2 in 1 Convertible,16,Windows,1.29,Intel Core i7,Intel,1,1,,,331.2642361026012
Lenovo,Notebook,4,Other,1.45,Other Intel Processor,Intel,0,0,,,117.82653006268643
HP,Notebook,8,Windows,1.95,Intel Core i5,Intel,0,0,,256,157.3505121487356
Acer,Notebook,4,Windows,1.4,Other Intel Processor,Intel,0,0,,,135.0942111925629
HP,Notebook,8,Windows,1.48,Intel Core i7,Intel,0,0,,256,157.3505121487356
Lenovo,Notebook,4,Windows,2.79,Intel Core i5,Nvidia,0,0,,,106.11306214269258
Asus,Notebook,8,Windows,2.0,Intel Core i7,Intel,0,0,,256,157.3505121487356
HP,Notebook,8,Windows,2.1,Intel Core i7,Intel,0,1,,,100.45466986113651
Acer,Notebook,8,Windows,2.2,AMD,AMD,0,0,,256,100.45466986113651
Lenovo,Notebook,4,Windows,1.44,Other Intel Processor,Intel,0,0,,,111.93520355955211
Acer,Notebook,6,Windows,2.23,Intel Core i5,Intel,0,0,,,100.45466986113651
Asus,Ultrabook,8,Windows,1.7,Intel Core i7,Nvidia,0,0,,256,141.21199808219862
HP,Ultrabook,8,Windows,1.26,Intel Core i7,Intel,0,0,,256,176.23257360658386
Dell,Notebook,32,Windows,2.06,Intel Core i7,Nvidia,1,0,,,282.42399616439724
MSI,Gaming,8,Windows,2.7,Intel Core i7,Nvidia,0,0,,256,127.33567457123111
Toshiba,Notebook,8,Windows,2.0,Intel Core i5,Intel,0,1,,256,141.21199808219862
Asus,Notebook,8,Windows,2.0,Intel Core i7,Intel,0,0,,256,157.3505121487356
Lenovo,Notebook,4,Windows,1.85,Intel Core i3,Intel,0,0,,,141.21199808219862
Asus,Gaming,8,Windows,2.5,Intel Core i7,Nvidia,0,0,,256,141.21199808219862
HP,Notebook,8,Windows,1.48,Intel Core i5,Intel,0,0,,256,157.3505121487356
Dell,Ultrabook,8,Windows,1.9,Intel Core i5,Nvidia,0,1,,128,141.21199808219862
HP,Notebook,8,Windows,1.84,Intel Core i5,Intel,0,0,,256,141.21199808219862
Asus,Notebook,4,Other,2.0,Other Intel Processor,Intel,0,0,,,100.45466986113651
Dell,Notebook,8,Windows,2.0,Intel Core i5,Nvidia,0,0,,256,141.21199808219862
Dell,Notebook,4,Other,2.2,Other Intel Processor,Intel,0,0,0,,100.45466986113651
Lenovo,Notebook,12,Windows,2.2,AMD,AMD,0,0,,,141.21199808219862
HP,Notebook,8,Windows,2.1,Intel Core i3,Nvidia,0,1,,,141.21199808219862
Lenovo,2 in 1 Convertible,16,Windows,1.4,Intel Core i7,Intel,1,1,,512,316.96506044349616
Dell,Ultrabook,8,Windows,1.2,Intel Core i7,Intel,0,0,,256,165.6321180513006
Lenovo,Gaming,16,Windows,2.4,Intel Core i7,Nvidia,0,1,,256,141.21199808219862
HP,Notebook,2,Windows,1.44,Other Intel Processor,Intel,0,0,,,111.93520355955211
Dell,Ultrabook,16,Windows,1.88,Intel Core i7,Intel,0,0,,512256,141.21199808219862
Asus,2 in 1 Convertible,4,Windows,1.5,Other Intel Processor,Intel,1,0,,,135.0942111925629
Dell,Ultrabook,8,Windows,1.9,Intel Core i5,AMD,0,0,,,141.21199808219862
Dell,Notebook,16,Windows,2.06,Intel Core i7,Nvidia,1,0,,512,282.42399616439724
HP,Notebook,8,Windows,1.84,Intel Core i7,Intel,0,0,,256,141.21199808219862
MSI,Gaming,8,Windows,2.7,Intel Core i7,Nvidia,0,0,,128,127.33567457123111
HP,Workstation,8,Windows,2.6,Intel Core i7,Nvidia,0,0,,256,141.21199808219862
Toshiba,Notebook,16,Windows,2.4,Intel Core i7,Nvidia,0,1,,512,141.21199808219862
Dell,Notebook,8,Windows,2.02,Intel Core i7,AMD,0,0,,128,141.21199808219862
Lenovo,Notebook,4,Other,2.2,Other Intel Processor,Intel,0,0,,,100.45466986113651
Dell,Gaming,8,Windows,2.65,Intel Core i5,Nvidia,0,0,,,141.21199808219862
Dell,Notebook,8,Windows,2.36,Intel Core i5,Intel,1,0,,,100.45466986113651
Dell,Notebook,8,Windows,1.36,Intel Core i5,Intel,0,0,,256,157.3505121487356
HP,Notebook,4,Windows,1.86,Intel Core i3,Intel,0,0,0,,100.45466986113651
Asus,Notebook,8,Windows,2.0,Intel Core i5,Intel,0,0,,256,157.3505121487356
Lenovo,Notebook,6,Windows,2.8,Intel Core i5,Nvidia,0,0,,128,106.11306214269258
HP,Notebook,8,Windows,1.86,Intel Core i5,Intel,0,0,,,141.21199808219862
Lenovo,Notebook,8,Other,2.2,Intel Core i3,Nvidia,0,0,,256,100.45466986113651
HP,Notebook,8,Windows,2.04,Other Intel Processor,Intel,0,0,,,100.45466986113651
Dell,Notebook,8,Windows,2.8,Intel Core i5,AMD,0,0,,128,127.33567457123111
Lenovo,Gaming,8,Other,2.4,Intel Core i5,Nvidia,0,1,,128,141.21199808219862
Dell,Notebook,8,Windows,2.33,Intel Core i7,AMD,0,0,,256,141.21199808219862
HP,Ultrabook,8,Windows,1.36,Intel Core i7,Intel,0,1,,256,157.3505121487356
Asus,2 in 1 Convertible,12,Windows,2.26,Intel Core i7,Nvidia,1,0,,512,141.21199808219862
Acer,Notebook,4,Windows,2.1,AMD,AMD,0,0,,128,100.45466986113651
Asus,Gaming,16,Windows,3.25,AMD,AMD,0,1,,256,127.33567457123111
Lenovo,Notebook,4,Windows,2.6,AMD,AMD,0,0,,128,106.11306214269258
Dell,2 in 1 Convertible,8,Windows,1.62,Intel Core i7,Intel,1,0,,256,165.6321180513006
HP,Notebook,4,Windows,1.91,AMD,AMD,0,0,,256,141.21199808219862
Lenovo,Netbook,4,Windows,1.59,Other Intel Processor,Intel,0,1,,128,135.0942111925629
Dell,Notebook,4,Windows,1.8,Other Intel Processor,Intel,0,0,0,,100.45466986113651
Asus,Notebook,4,Windows,1.5,Other Intel Processor,Intel,0,0,,,111.93520355955211
Acer,Notebook,8,Other,2.4,Intel Core i7,Nvidia,0,0,,,141.21199808219862
HP,Gaming,8,Windows,3.35,Intel Core i7,Nvidia,0,1,,128,127.33567457123111
Lenovo,Notebook,4,Other,1.85,Intel Core i3,Intel,0,0,,128,141.21199808219862
Asus,Gaming,8,Windows,2.3,Intel Core i7,Nvidia,0,1,,128,141.21199808219862
Lenovo,Notebook,8,Windows,1.5,Intel Core i5,Nvidia,0,1,,256,157.3505121487356
Asus,Ultrabook,16,Windows,1.1,Intel Core i7,Intel,1,0,,512,165.6321180513006
Lenovo,Ultrabook,8,Windows,1.13,Intel Core i7,Intel,0,1,,512,209.8006828649808
Lenovo,Notebook,4,Windows,1.5,Intel Core i3,Intel,0,1,,128,165.6321180513006
Dell,Workstation,8,Windows,2.23,Intel Core i5,AMD,0,0,0,,141.21199808219862
Dell,Workstation,8,Windows,2.0,Intel Core i7,Nvidia,0,1,,256,141.21199808219862
Lenovo,2 in 1 Convertible,16,Windows,1.42,Intel Core i7,Intel,1,0,,512,209.8006828649808
Asus,Gaming,8,Windows,3.0,Intel Core i7,Nvidia,0,0,,,127.33567457123111
Asus,Gaming,16,Windows,3.0,Intel Core i7,Nvidia,0,0,,256,127.33567457123111
Acer,Notebook,12,Windows,2.2,Intel Core i5,Nvidia,0,1,,,100.45466986113651
MSI,Gaming,8,Windows,2.7,Intel Core i7,Nvidia,0,0,,256,127.33567457123111
Dell,Notebook,8,Other,2.33,Intel Core i7,AMD,0,0,,256,141.21199808219862
HP,Ultrabook,4,Windows,1.91,AMD,AMD,0,0,,256,141.21199808219862
Lenovo,Notebook,8,Windows,2.1,Intel Core i7,AMD,0,1,,256,141.21199808219862
Lenovo,Notebook,8,Windows,1.9,Intel Core i5,Intel,0,1,,256,157.3505121487356
Dell,Workstation,8,Windows,1.78,Intel Core i7,Nvidia,1,0,,256,282.42399616439724
Lenovo,Ultrabook,16,Windows,1.13,Intel Core i7,Intel,0,1,,,209.8006828649808
Lenovo,Notebook,4,Windows,2.2,Other Intel Processor,Intel,0,0,,,100.45466986113651
Asus,Gaming,16,Windows,2.9,Intel Core i7,Nvidia,0,0,,256,127.33567457123111
Lenovo,Notebook,8,Windows,2.1,Intel Core i5,AMD,0,1,,256,141.21199808219862
Acer,Notebook,8,Other,2.5,Intel Core i7,Nvidia,0,0,,256,141.21199808219862
MSI,Gaming,16,Windows,2.8,Intel Core i7,Nvidia,0,0,,256,127.33567457123111
Asus,Ultrabook,8,Windows,1.1,Intel Core i7,Intel,0,0,,512,157.3505121487356
Toshiba,Ultrabook,16,Windows,1.2,Intel Core i7,Intel,0,0,,512,165.6321180513006
Dell,Ultrabook,8,Windows,1.36,Intel Core i7,Intel,0,0,,512,157.3505121487356
Lenovo,Notebook,4,Windows,2.2,Intel Core i3,Intel,0,0,0,,141.21199808219862
Lenovo,Notebook,2,Windows,1.15,Other Intel Processor,Intel,0,0,,,135.0942111925629
Lenovo,Workstation,8,Windows,2.67,Intel Core i7,Nvidia,0,0,,512,141.21199808219862
Lenovo,Ultrabook,8,Windows,1.7,Intel Core i7,Nvidia,0,1,,512,209.8006828649808
HP,Notebook,4,Windows,2.1,Intel Core i3,AMD,0,0,,,141.21199808219862
Acer,2 in 1 Convertible,8,Windows,1.6,Intel Core i7,Intel,1,1,,256,165.6321180513006
Asus,2 in 1 Convertible,8,Windows,1.27,Intel Core i5,Intel,1,1,,256,165.6321180513006
Dell,Notebook,4,Other,2.3,Intel Core i5,AMD,0,0,,256,141.21199808219862
Dell,Notebook,4,Windows,1.65,Intel Core i3,Intel,0,0,,128,117.82653006268643
HP,Ultrabook,8,Windows,1.43,Intel Core i7,Intel,0,0,,256,157.3505121487356
Dell,Notebook,8,Windows,2.14,Intel Core i5,Intel,0,0,,,100.45466986113651
Lenovo,Ultrabook,8,Windows,1.75,Intel Core i7,AMD,0,1,,256,157.3505121487356
Lenovo,2 in 1 Convertible,16,Windows,2.0,Intel Core i7,Nvidia,1,1,,512,282.42399616439724
Chuwi,Notebook,6,Windows,1.4,Other Intel Processor,Intel,0,1,,,267.3384360344031
HP,Notebook,8,Windows,2.31,Intel Core i7,Intel,0,0,,256,141.21199808219862
Asus,Notebook,8,Other,2.3,Intel Core i3,Nvidia,0,0,,,141.21199808219862
Dell,Gaming,16,Windows,4.42,Intel Core i7,Nvidia,0,1,,256,169.78089942830815
Dell,Gaming,8,Windows,2.62,Intel Core i7,Nvidia,0,1,,128,141.21199808219862
Dell,Notebook,8,Windows,2.02,Intel Core i7,AMD,0,0,,256,141.21199808219862
Dell,Ultrabook,8,Other,1.6,Intel Core i7,Intel,0,0,,256,157.3505121487356
HP,Gaming,12,Windows,3.35,Intel Core i7,Nvidia,0,0,,256,127.33567457123111
Mediacom,2 in 1 Convertible,4,Windows,1.16,Other Intel Processor,Intel,1,1,,32,189.90579052433606
Samsung,Netbook,4,Other,1.15,Other Intel Processor,Intel,0,0,,,135.0942111925629
Lenovo,Notebook,8,Windows,1.4,Intel Core i7,Intel,0,1,,256,165.6321180513006
Lenovo,Notebook,4,Windows,1.7,Intel Core i3,Intel,0,1,,128,157.3505121487356
Lenovo,Workstation,16,Windows,2.3,Intel Core i7,Nvidia,0,1,,512,282.42399616439724
Lenovo,Notebook,16,Windows,2.5,Intel Core i7,Nvidia,0,0,,512,141.21199808219862
Asus,Gaming,8,Windows,3.2,AMD,AMD,0,0,,256,127.33567457123111
HP,Notebook,4,Windows,2.1,Other Intel Processor,Intel,0,0,0,,100.45466986113651
Google,Ultrabook,16,Other,1.1,Intel Core i7,Intel,1,0,,512,234.50740003017813
Lenovo,Ultrabook,24,Windows,1.32,Intel Core i7,Intel,0,0,,512,209.8006828649808
Asus,Notebook,4,Other,2.0,Intel Core i5,Intel,0,0,,256,141.21199808219862
Lenovo,Notebook,8,Windows,2.8,AMD,AMD,0,0,,,106.11306214269258
Dell,Notebook,4,Windows,2.2,Intel Core i5,AMD,0,0,,256,141.21199808219862
Lenovo,Ultrabook,8,Windows,1.36,Intel Core i5,Intel,0,1,,256,176.23257360658386
Lenovo,Notebook,4,Windows,2.2,Other Intel Processor,Intel,0,0,,128,141.21199808219862
HP,Gaming,8,Windows,2.2,Intel Core i7,Nvidia,0,1,,128,141.21199808219862
Dell,Notebook,8,Windows,1.64,Intel Core i5,Nvidia,0,0,,256,157.3505121487356
Acer,Notebook,4,Other,2.4,Intel Core i5,Intel,0,0,0,,100.45466986113651
Dell,Workstation,8,Windows,2.23,Other Intel Processor,Nvidia,0,0,,,141.21199808219862
MSI,Gaming,8,Windows,2.2,Intel Core i5,Nvidia,0,0,,256,141.21199808219862
Microsoft,Ultrabook,16,Windows,1.25,Intel Core i7,Intel,1,0,,512,200.84255993695703
HP,Notebook,8,Windows,1.91,Intel Core i5,Intel,0,0,,128,100.45466986113651
Dell,Workstation,16,Windows,2.17,Intel Core i7,Nvidia,0,1,,256,141.21199808219862
HP,Workstation,8,Windows,2.31,Intel Core i7,Intel,0,1,,512,141.21199808219862
Lenovo,Notebook,8,Windows,1.65,Intel Core i5,Intel,0,0,,256,157.3505121487356
Dell,Notebook,8,Windows,2.36,Intel Core i7,AMD,0,0,,128,141.21199808219862
Dell,2 in 1 Convertible,4,Windows,1.47,Other Intel Processor,Intel,1,0,0,,135.0942111925629
Dell,Notebook,8,Windows,4.42,Intel Core i7,Nvidia,0,1,,,127.33567457123111
Microsoft,Ultrabook,4,Windows,1.252,Other Intel Processor,Intel,1,0,,128,200.84255993695703
Microsoft,Ultrabook,8,Windows,1.25,Intel Core i7,Intel,1,0,,256,200.84255993695703
HP,Notebook,8,Windows,2.5,Intel Core i3,Intel,0,0,,256,106.11306214269258
Acer,Notebook,4,Windows,2.23,Intel Core i3,Nvidia,0,0,,,141.21199808219862
Acer,Netbook,4,Windows,1.4,Other Intel Processor,Intel,0,0,,128,135.0942111925629
Asus,Notebook,8,Windows,2.37,Intel Core i5,Intel,0,0,,,141.21199808219862
Lenovo,Notebook,8,Other,1.5,Intel Core i7,AMD,0,1,,512,157.3505121487356
Lenovo,Notebook,8,Windows,2.67,Intel Core i7,Nvidia,0,0,,256,141.21199808219862
Asus,Notebook,4,Windows,2.0,Other Intel Processor,Intel,0,0,0,,100.45466986113651
Acer,Notebook,4,Windows,2.2,Intel Core i3,Nvidia,0,0,0,,100.45466986113651
Dell,Notebook,8,Windows,2.02,Intel Core i5,AMD,0,0,,,141.21199808219862
HP,Gaming,12,Windows,3.78,Intel Core i7,Nvidia,0,1,,,127.33567457123111
Lenovo,Ultrabook,12,Windows,1.4,Intel Core i7,Intel,0,1,,256,209.8006828649808
HP,2 in 1 Convertible,8,Windows,1.29,Intel Core i7,Intel,1,1,,512,331.2642361026012
HP,Notebook,8,Windows,1.9,Intel Core i5,AMD,0,0,0,,141.21199808219862
Google,Ultrabook,8,Other,1.1,Intel Core i5,Intel,1,0,,128,234.50740003017813
Dell,Ultrabook,8,Windows,1.42,Intel Core i5,Intel,1,0,,256,165.6321180513006
Asus,Notebook,12,Windows,2.06,Intel Core i7,Intel,0,1,,128,282.42399616439724
Dell,Notebook,8,Windows,1.79,Intel Core i3,Intel,0,0,,128,111.93520355955211
Dell,Workstation,8,Windows,1.78,Intel Core i7,Nvidia,0,0,,256,141.21199808219862
Lenovo,Notebook,8,Windows,1.7,Intel Core i5,Intel,0,0,,1,157.3505121487356
Dell,Notebook,8,Windows,2.2,Intel Core i5,AMD,0,0,,,141.21199808219862
Toshiba,Notebook,8,Windows,1.05,Intel Core i5,Intel,0,1,,256,165.6321180513006
Dell,Notebook,8,Windows,2.16,Intel Core i7,Nvidia,0,1,,512,141.21199808219862
Dell,Notebook,4,Windows,2.18,Intel Core i3,Intel,0,0,,,100.45466986113651
HP,Notebook,4,Windows,1.49,Intel Core i5,Intel,0,1,,128,165.6321180513006
Chuwi,Notebook,4,Windows,1.89,Other Intel Processor,Intel,0,0,,,141.21199808219862
Lenovo,Notebook,4,Windows,2.3,Intel Core i3,Intel,0,0,,128,100.45466986113651
Lenovo,Notebook,8,Windows,1.75,Intel Core i5,Intel,0,1,,256,157.3505121487356
Dell,Workstation,16,Windows,2.17,Intel Core i7,Nvidia,0,1,,512,141.21199808219862
Dell,Notebook,16,Windows,2.06,Intel Core i7,Nvidia,0,0,,512,141.21199808219862
Lenovo,Ultrabook,16,Windows,1.36,Intel Core i7,Intel,0,1,,512,176.23257360658386
Asus,Ultrabook,16,Windows,0.91,Intel Core i7,Intel,0,0,,512,176.23257360658386
Lenovo,Notebook,8,Windows,2.3,Intel Core i5,Nvidia,0,1,,256,141.21199808219862
Toshiba,Ultrabook,32,Windows,1.05,Intel Core i7,Intel,1,0,,512,165.6321180513006
Asus,Gaming,8,Windows,1.99,Intel Core i7,Nvidia,0,0,,128,141.21199808219862
Acer,Notebook,8,Windows,2.2,AMD,AMD,0,0,,,100.45466986113651
Asus,Gaming,24,Windows,4.33,Intel Core i7,Nvidia,1,1,,256,127.33567457123111
Lenovo,Ultrabook,8,Windows,1.3,Intel Core i5,Intel,0,1,,1,125.36742798669837
Lenovo,Notebook,8,Windows,2.17,Intel Core i7,Intel,0,0,,256,141.21199808219862
HP,Notebook,8,Windows,1.48,Intel Core i7,Intel,0,0,,,157.3505121487356
Lenovo,Notebook,8,Windows,1.4,Intel Core i3,Intel,0,1,,256,165.6321180513006
Lenovo,Notebook,8,Windows,2.3,Intel Core i5,Intel,0,1,,256,141.21199808219862
Asus,Netbook,4,Windows,1.2,Other Intel Processor,Intel,0,0,,,135.0942111925629
HP,Notebook,8,Windows,1.91,Intel Core i5,AMD,0,0,,256,100.45466986113651
Lenovo,2 in 1 Convertible,8,Windows,1.4,Intel Core i5,Intel,1,1,,256,158.48253022174808
Lenovo,Notebook,4,Windows,2.1,Other Intel Processor,Intel,0,0,0,,111.93520355955211
Lenovo,Netbook,4,Other,1.25,Other Intel Processor,Intel,0,0,,16,135.0942111925629
Lenovo,Notebook,8,Windows,1.44,Intel Core i5,Intel,0,0,,256,165.6321180513006
Asus,Notebook,8,Windows,2.0,Intel Core i7,Intel,0,0,,256,141.21199808219862
Acer,Notebook,4,Windows,2.2,Intel Core i5,Nvidia,0,1,,,141.21199808219862
HP,Ultrabook,8,Windows,1.34,Intel Core i7,Intel,0,1,,512,165.6321180513006
Lenovo,Gaming,8,Other,2.4,Intel Core i7,Nvidia,0,1,,256,141.21199808219862
Dell,Ultrabook,8,Windows,1.29,Intel Core i5,Intel,1,1,,128,165.6321180513006
Acer,Notebook,4,Windows,2.2,Intel Core i7,Nvidia,0,0,0,,141.21199808219862
Dell,Notebook,8,Windows,2.18,Intel Core i5,Intel,0,0,,,141.21199808219862
Dell,Notebook,16,Windows,2.2,Intel Core i7,AMD,0,0,,256,141.21199808219862
Xiaomi,Notebook,16,Other,1.95,Intel Core i7,Nvidia,0,1,,256,141.21199808219862
Asus,Netbook,2,Windows,1.1,Other Intel Processor,Intel,0,0,,,135.0942111925629
HP,Notebook,4,Windows,2.04,Intel Core i5,Intel,1,0,,,100.45466986113651
Asus,Gaming,24,Windows,2.24,Intel Core i7,Nvidia,0,0,,512,141.21199808219862
HP,Notebook,8,Windows,2.04,Intel Core i5,Nvidia,0,0,,256,141.21199808219862
Asus,Gaming,16,Windows,3.0,Intel Core i7,Nvidia,0,0,,256,127.33567457123111
Lenovo,Gaming,8,Windows,3.2,Intel Core i7,Nvidia,0,1,,256,141.21199808219862
HP,Ultrabook,8,Windows,1.32,Intel Core i7,Intel,0,1,,256,165.6321180513006
Dell,Notebook,8,Windows,1.64,Intel Core i5,Intel,0,0,,256,157.3505121487356
HP,Notebook,4,Windows,1.63,Intel Core i3,Intel,0,0,,128,100.45466986113651
Dell,Notebook,8,Other,2.8,Intel Core i5,AMD,0,1,,128,127.33567457123111
Lenovo,Notebook,8,Windows,2.02,Intel Core i5,Intel,0,0,,256,157.3505121487356
Lenovo,Notebook,4,Windows,2.2,Intel Core i7,Nvidia,0,0,,,141.21199808219862
Lenovo,Notebook,8,Other,2.2,Intel Core i3,Nvidia,0,0,,,100.45466986113651
Dell,Notebook,4,Windows,2.3,Intel Core i5,AMD,0,0,0,,141.21199808219862
Dell,Notebook,8,Windows,1.9,Intel Core i5,Intel,0,0,,256,141.21199808219862
Dell,Gaming,16,Windows,4.42,Intel Core i7,Nvidia,0,1,,128,127.33567457123111
Toshiba,Notebook,8,Windows,2.0,Intel Core i5,Intel,0,1,0,,141.21199808219862
Asus,Notebook,8,Windows,2.0,Intel Core i7,Nvidia,0,1,,256,282.42399616439724
Mediacom,Notebook,4,Windows,1.2,Other Intel Processor,Intel,0,1,,32,165.6321180513006
Asus,Gaming,8,Windows,2.3,Intel Core i5,Nvidia,0,1,,128,141.21199808219862
Dell,Notebook,8,Windows,1.93,Intel Core i7,Nvidia,0,0,,256,141.21199808219862
Dell,Notebook,8,Windows,2.2,Intel Core i5,AMD,0,0,,256,141.21199808219862
HP,Notebook,4,Windows,1.86,Other Intel Processor,Intel,0,0,,256,141.21199808219862
HP,Gaming,12,Windows,2.62,Intel Core i7,Nvidia,0,0,,,127.33567457123111
Lenovo,Notebook,8,Windows,1.87,Intel Core i7,Nvidia,0,1,,256,157.3505121487356
Dell,Ultrabook,8,Windows,1.2,Intel Core i7,Intel,1,0,,256,276.053530085501
Dell,Notebook,4,Windows,1.6,Intel Core i3,Intel,0,0,,128,157.3505121487356
HP,Ultrabook,8,Windows,1.34,Intel Core i7,Intel,0,1,,256,276.053530085501
Acer,Gaming,8,Other,2.4,Intel Core i5,Nvidia,0,0,,,141.21199808219862
Asus,Notebook,4,Windows,2.0,AMD,AMD,0,0,0,,100.45466986113651
HP,Notebook,4,Windows,2.1,Intel Core i3,Intel,0,0,,128,141.21199808219862
Lenovo,Notebook,4,Windows,1.87,Intel Core i5,Intel,0,0,0,,157.3505121487356
Lenovo,Notebook,4,Other,2.15,Intel Core i5,Intel,0,0,,,141.21199808219862
HP,Notebook,4,Windows,1.86,Intel Core i3,Intel,0,0,0,,141.21199808219862
Lenovo,Notebook,8,Windows,1.99,Intel Core i7,Intel,0,1,,512,141.21199808219862
Lenovo,Notebook,4,Windows,2.2,Intel Core i3,Intel,0,0,,128,141.21199808219862
Dell,Notebook,8,Windows,1.9,Intel Core i5,Intel,0,0,,256,141.21199808219862
Dell,Gaming,16,Windows,4.42,Intel Core i7,Nvidia,0,1,,256,127.33567457123111
HP,Notebook,8,Windows,2.65,Intel Core i3,Intel,0,0,,,106.11306214269258
HP,Notebook,8,Windows,2.63,Intel Core i7,Nvidia,0,0,,,127.33567457123111
Asus,Notebook,4,Other,2.0,Other Intel Processor,Intel,0,0,0,,100.45466986113651
Mediacom,Notebook,4,Windows,1.35,Other Intel Processor,Intel,0,1,,,165.6321180513006
Lenovo,Notebook,6,Windows,2.8,Intel Core i7,Nvidia,0,0,,128,106.11306214269258
HP,Notebook,6,Windows,1.91,AMD,AMD,0,1,,128,141.21199808219862
Dell,Notebook,4,Windows,2.18,Intel Core i3,AMD,0,0,,,100.45466986113651
Acer,2 in 1 Convertible,4,Windows,1.25,Other Intel Processor,Intel,1,1,,,189.90579052433606
Lenovo,Notebook,4,Windows,2.05,Intel Core i3,Intel,0,0,,128,141.21199808219862
HP,Ultrabook,16,Windows,1.16,Other Intel Processor,Intel,1,1,,512,276.053530085501
Lenovo,Notebook,8,Windows,3.4,Intel Core i7,Nvidia,0,1,,256,127.33567457123111
Asus,Notebook,8,Windows,2.5,Intel Core i5,Nvidia,0,0,,128,141.21199808219862
Dell,Ultrabook,8,Windows,1.21,Intel Core i5,Intel,1,1,,128,331.2642361026012
Dell,Notebook,4,Windows,1.93,Intel Core i5,Intel,0,0,0,,100.45466986113651
Fujitsu,Notebook,8,Windows,2.2,Intel Core i5,Intel,0,0,,,100.45466986113651
Lenovo,Notebook,4,Windows,2.2,Other Intel Processor,Intel,0,0,0,,141.21199808219862
Lenovo,Notebook,4,Windows,2.02,Intel Core i5,Intel,0,0,0,,111.93520355955211
HP,Workstation,8,Windows,3.14,Intel Core i5,Nvidia,0,0,0,,106.11306214269258
HP,Notebook,8,Windows,1.94,Other Intel Processor,Intel,0,0,,,111.93520355955211
HP,Notebook,6,Windows,1.95,AMD,AMD,0,1,,256,141.21199808219862
Lenovo,Notebook,8,Windows,2.3,Intel Core i5,Intel,0,0,,256,141.21199808219862
Lenovo,Notebook,4,Windows,2.05,Intel Core i5,Intel,0,0,0,,141.21199808219862
Mediacom,Notebook,4,Windows,1.4,Other Intel Processor,Intel,0,0,,32,157.3505121487356
Toshiba,Ultrabook,16,Windows,1.24,Intel Core i7,Intel,1,0,,512,157.3505121487356
Lenovo,Gaming,32,Windows,4.6,Intel Core i7,Nvidia,0,1,,256,127.33567457123111
MSI,Gaming,16,Windows,4.14,Intel Core i7,Nvidia,0,0,,512,127.33567457123111
Dell,Notebook,8,Other,2.2,Intel Core i7,AMD,0,0,,256,141.21199808219862
Mediacom,Notebook,4,Windows,1.45,Other Intel Processor,Intel,0,1,,32,157.3505121487356
Dell,Notebook,8,Windows,1.9,Intel Core i5,Intel,0,0,0,,100.45466986113651
HP,Notebook,4,Windows,1.49,Intel Core i3,Intel,0,0,,128,165.6321180513006
Dell,Notebook,16,Windows,1.93,Intel Core i7,Nvidia,0,0,,256,141.21199808219862
Dell,Netbook,4,Other,1.26,Other Intel Processor,Intel,0,0,,,135.0942111925629
MSI,Gaming,16,Windows,4.5,Intel Core i7,Nvidia,0,0,,128,127.33567457123111
HP,Gaming,16,Windows,3.78,Intel Core i7,Nvidia,0,1,,256,127.33567457123111
Lenovo,Ultrabook,12,Windows,1.4,Intel Core i7,Intel,0,1,,256,157.3505121487356
Lenovo,Notebook,12,Windows,2.2,Intel Core i7,Intel,1,0,,,100.45466986113651
